"","Index","FlowMetric","ModifiedClass","Quantile","NumberSitesPerClass"
"226","csci","Wet-season low baseflow","Hard Bottom",0.9,39
"227","csci","Wet-season low baseflow","Natural",0.5,179
"228","csci","Wet-season low baseflow","Natural",0.9,179
"229","csci","Wet-season low baseflow","Overall 10th",0.5,343
"230","csci","Wet-season low baseflow","Overall 10th",0.9,343
"231","csci","Wet-season low baseflow","Overall 1st",0.5,343
"232","csci","Wet-season low baseflow","Overall 1st",0.9,343
"233","csci","Wet-season low baseflow","Overall 30th",0.5,343
"234","csci","Wet-season low baseflow","Overall 30th",0.9,343
"235","csci","Wet-season low baseflow","Soft Bottom (no hard sides)",0.5,6
"236","csci","Wet-season low baseflow","Soft Bottom (no hard sides)",0.9,6
"237","csci","Wet-season low baseflow","Soft Bottom (two hard sides)",0.5,29
"238","csci","Wet-season low baseflow","Soft Bottom (two hard sides)",0.9,29
"239","csci","Wet-season median baseflow","Hard Bottom",0.5,39
"240","csci","Wet-season median baseflow","Hard Bottom",0.9,39
"241","csci","Wet-season median baseflow","Natural",0.5,179
"242","csci","Wet-season median baseflow","Natural",0.9,179
"243","csci","Wet-season median baseflow","Overall 10th",0.5,343
"244","csci","Wet-season median baseflow","Overall 10th",0.9,343
"245","csci","Wet-season median baseflow","Overall 1st",0.5,343
"246","csci","Wet-season median baseflow","Overall 1st",0.9,343
"247","csci","Wet-season median baseflow","Overall 30th",0.5,343
"248","csci","Wet-season median baseflow","Overall 30th",0.9,343
"249","csci","Wet-season median baseflow","Soft Bottom (no hard sides)",0.5,6
"250","csci","Wet-season median baseflow","Soft Bottom (no hard sides)",0.9,6
"251","csci","Wet-season median baseflow","Soft Bottom (two hard sides)",0.5,29
"252","csci","Wet-season median baseflow","Soft Bottom (two hard sides)",0.9,29
