"","comid","gageid","StationCode","bioindicator","REACHCODE","GNIS_ID","GNIS_NAME"
"256",20331178,"11023330","906LPLPC4","CSCI","18070304000148","0","Penasquitos Creek, Los"
"257",20331178,"11023330","906S02246","CSCI","18070304000148","0","Penasquitos Creek, Los"
"258",20331196,"11023340","906LPLPC4","CSCI","18070304000144","0","Penasquitos Creek, Los"
"259",20331196,"11023340","906S02246","CSCI","18070304000144","0","Penasquitos Creek, Los"
"260",20330878,"11025500","905PS0026","CSCI","18070304000185","273573","Santa Ysabel Creek"
"261",20342539,"11042000","903SLRRFR","CSCI","18070303000022","273500","San Luis Rey River"
"262",22549073,"11043000","902MCGSxx","CSCI","18070302000101","255652","Murrieta Creek"
"263",22549075,"11044000","902RCWGRx","CSCI","18070302000025","273559","Santa Margarita River"
"264",22549075,"11044000","902S02293","CSCI","18070302000025","273559","Santa Margarita River"
"265",22549075,"11044000","902S02357","CSCI","18070302000025","273559","Santa Margarita River"
"266",22549075,"11044000","902S05173","CSCI","18070302000025","273559","Santa Margarita River"
"267",22549075,"11044000","902SMRWGR","CSCI","18070302000025","273559","Santa Margarita River"
"268",22549075,"11044000","902SSMR05","CSCI","18070302000025","273559","Santa Margarita River"
"269",22549075,"11044000","SMC04661","CSCI","18070302000025","273559","Santa Margarita River"
"270",22548475,"11044250","902RCWGRx","CSCI","18070302000839","247920","Rainbow Creek"
"271",22548475,"11044250","902S02293","CSCI","18070302000839","247920","Rainbow Creek"
"272",22548475,"11044250","902S02357","CSCI","18070302000839","247920","Rainbow Creek"
"273",22548475,"11044250","902S05173","CSCI","18070302000839","247920","Rainbow Creek"
"274",22548475,"11044250","902SMRWGR","CSCI","18070302000839","247920","Rainbow Creek"
"275",22548475,"11044250","902SSMR05","CSCI","18070302000839","247920","Rainbow Creek"
"276",22548475,"11044250","SMC04661","CSCI","18070302000839","247920","Rainbow Creek"
"277",22548457,"11044300","902RCWGRx","CSCI","18070302000014","273559","Santa Margarita River"
"278",22548457,"11044300","902S02293","CSCI","18070302000014","273559","Santa Margarita River"
"279",22548457,"11044300","902S02357","CSCI","18070302000014","273559","Santa Margarita River"
"280",22548457,"11044300","902S05173","CSCI","18070302000014","273559","Santa Margarita River"
"281",22548457,"11044300","902SMRWGR","CSCI","18070302000014","273559","Santa Margarita River"
"282",22548457,"11044300","902SSMR05","CSCI","18070302000014","273559","Santa Margarita River"
"283",22548457,"11044300","SMC04661","CSCI","18070302000014","273559","Santa Margarita River"
"284",22548429,"11044350","902SCSCRx","CSCI","18070302000615",NA,NA
"285",22548441,"11044800","902S00117","CSCI","18070302000148","270775","De Luz Creek"
"286",22548441,"11044800","902SMROB8","CSCI","18070302000148","270775","De Luz Creek"
"287",20348919,"11046530","901S11685","CSCI","18070301000684","273492","San Juan Creek"
"288",20348919,"11046530","901S12942","CSCI","18070301000684","273492","San Juan Creek"
"289",20348919,"11046530","901S39498","CSCI","18070301000684","273492","San Juan Creek"
"290",20348919,"11046530","901S45253","CSCI","18070301000684","273492","San Juan Creek"
"291",20348919,"11046530","901SJC74x","CSCI","18070301000684","273492","San Juan Creek"
"292",20348919,"11046530","901SJSJC9","CSCI","18070301000684","273492","San Juan Creek"
"293",20355520,"11048600","801SDC180","CSCI","18070204000110","0","Bonita Creek"
"294",20355520,"11048600","801SDC418","CSCI","18070204000110","0","Bonita Creek"
"295",22558244,"11049590","801PLC469","CSCI","18070203005948","273539","Santa Ana River"
"296",22558244,"11049590","801XXX259","CSCI","18070203005948","273539","Santa Ana River"
"297",22558244,"11051499","801PLC469","CSCI","18070203005948","273539","Santa Ana River"
"298",22558244,"11051499","801XXX259","CSCI","18070203005948","273539","Santa Ana River"
"299",22558244,"11051500","801PLC469","CSCI","18070203005948","273539","Santa Ana River"
"300",22558244,"11051500","801XXX259","CSCI","18070203005948","273539","Santa Ana River"
"301",22558244,"11051502","801PLC469","CSCI","18070203005948","273539","Santa Ana River"
"302",22558244,"11051502","801XXX259","CSCI","18070203005948","273539","Santa Ana River"
"303",22555756,"11055800","801CYC114","CSCI","18070203000250","240641","City Creek"
"304",22555756,"11055800","801CYC398","CSCI","18070203000250","240641","City Creek"
"305",22555756,"11055801","801CYC114","CSCI","18070203000250","240641","City Creek"
"306",22555756,"11055801","801CYC398","CSCI","18070203000250","240641","City Creek"
"307",22557960,"11057500","801STW085","CSCI","18070203000119",NA,NA
"308",22555146,"11058500","801ETC226","CSCI","18070203000263","241790","East Twin Creek"
"309",22555146,"11058500","801RB8751","CSCI","18070203000263","241790","East Twin Creek"
"310",24843814,"11061000","801S01559","CSCI","18070203006179","272290","Lytle Creek"
"311",22554826,"11062000","801S01559","CSCI","18070203000291","272290","Lytle Creek"
"312",22554826,"11062001","801S01559","CSCI","18070203000291","272290","Lytle Creek"
"313",24843814,"11062300","801S01559","CSCI","18070203006179","272290","Lytle Creek"
"314",22555654,"11062800","801S01559","CSCI","18070203000272",NA,NA
"315",22557744,"11063510","801RB8396","CSCI","18070203002757",NA,NA
"316",22557744,"11063510","801RB8483","CSCI","18070203002757",NA,NA
"317",22557744,"11063510","SMCR8_327","CSCI","18070203002757",NA,NA
"318",22563032,"11066460","801M16916","CSCI","18070203000075","273539","Santa Ana River"
"319",22563032,"11066460","801RB8294","CSCI","18070203000075","273539","Santa Ana River"
"320",22563032,"11066460","801RB8361","CSCI","18070203000075","273539","Santa Ana River"
"321",22563032,"11066460","801RB8450","CSCI","18070203000075","273539","Santa Ana River"
"322",22563032,"11066460","801SAR110","CSCI","18070203000075","273539","Santa Ana River"
"323",22534666,"11070500","802S27709","CSCI","18070202000004","273486","San Jacinto River"
"324",22563070,"11073495","801MIC042","CSCI","18070203001704",NA,NA
"325",22563070,"11073495","SMC11581","CSCI","18070203001704",NA,NA
"326",22563070,"11073495","SMC15677","CSCI","18070203001704",NA,NA
"327",22563116,"11074000","801SAR528","CSCI","18070203000056","0","Santa Ana River"
"328",22527369,"11075720","845RB8441","CSCI","18070106000768","0","Carbon Canyon Creek"
"329",22521721,"11087020","405SGB011","CSCI","18070106000770","1654998","San Gabriel River"
"330",22521721,"11087020","405SGB027","CSCI","18070106000770","1654998","San Gabriel River"
"331",22521721,"11087020","SMC00574","CSCI","18070106000770","1654998","San Gabriel River"
"332",22521721,"11087020","SMC03390","CSCI","18070106000770","1654998","San Gabriel River"
"333",22521721,"11087020","SMC04670","CSCI","18070106000770","1654998","San Gabriel River"
"334",22521721,"11087020","SMC13630","CSCI","18070106000770","1654998","San Gabriel River"
"335",22521721,"11087020","SMC16832","CSCI","18070106000770","1654998","San Gabriel River"
"336",22527375,"11088500","SMC01694","CSCI","18070106000018","0",NA
"337",22527373,"11089500","845PS0011","CSCI","18070106000625","0","Fullerton Creek"
"338",22527373,"11089500","SMC00670","CSCI","18070106000625","0","Fullerton Creek"
"339",22515812,"11092450","412CE0232","CSCI","18070105000097","0","Angeles River, Los"
"340",22515812,"11092450","412CE0616","CSCI","18070105000097","0","Angeles River, Los"
"341",22515812,"11092450","412M08597","CSCI","18070105000097","0","Angeles River, Los"
