"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","CorObs_Pred"
"70","csci_Wet_BFL_Mag_50_12",-243.662366738384,-64.1951816057257,-243.662366738384,-64.1951816057257,-317.453558104768,175.860398530747,-183.707023753198,-78.2723505955399,-299.005760263172,-49.9945289094048,-248.274316198783,-63.0117938810323,-262.11016457998,-59.461630706952,402,"csci","Wet_BFL_Mag_50",12,0.40647411591595
"71","asci_Q99_12",747.115509387549,NA,747.115509387549,NA,-265.229623115257,2.23137237709103,832.64650161651,NA,766.246195985591,NA,-144.796662861764,-61.5879769830567,-234.50352572585,-12.9528319582667,223,"asci","Q99",12,0.440222171723782
"72","csci_Q99_12",-188.472663549225,NA,-188.472663549225,NA,-26487.118898887,-2795.27180453865,469.277869227514,NA,-22586.6336545601,-6947.34337549616,-198.341030286285,NA,-14785.6631659063,-13273.3040489984,402,"csci","Q99",12,0.522782799789709
"73","asci_DS_Mag_50_15",NA,NA,NA,NA,-7.47005907489363,-6.28920312808479,NA,NA,NA,NA,-2.39487641417871,1.17981183182066,-3.08805935215499,2.02975605695277,223,"asci","DS_Mag_50",15,0.45994608080069
"74","csci_DS_Mag_50_15",-19.9101117643333,-19.3049663887759,-19.9101117643333,-19.3049663887759,-22.123548874826,-12.6758803784635,-0.861615521000877,0.419929305245758,-21.5701895972028,-13.6296155476229,-20.0484515837391,-18.7242106026416,-20.4634710419565,-16.9819432442386,402,"csci","DS_Mag_50",15,0.621321753388021
"75","asci_FA_Mag_15",NA,NA,NA,NA,11.247531931398,25.7232479976197,NA,NA,NA,NA,46.4947864907314,64.6885484372673,14.3946233617473,24.9098731685387,223,"asci","FA_Mag",15,0.353698675644813
"76","csci_FA_Mag_15",-2.81673009771946,28.8409127624747,-2.81673009771946,28.8409127624747,-223.058824674488,-105.49940524946,NA,NA,-224.571670776879,-76.6450281530196,-6.42221488908937,30.262894554581,-31.5298859775662,63.8789310174625,402,"csci","FA_Mag",15,0.551724846759385
"77","asci_Peak_10_15",1050.17436209862,1182.65485053782,1050.17436209862,1182.65485053782,-640.066875238026,31.2722657209215,5881.1952859238,NA,5452.49680707954,NA,-398.21893026238,-177.673063613969,-601.533689525964,-6.89152420769257,223,"asci","Peak_10",15,0.429807364955695
"78","csci_Peak_10_15",-629.672487646798,NA,-629.672487646798,NA,-10494.9321632568,-5575.39887852838,1085.48168443533,NA,-9351.71326421206,-5857.69039622776,-663.105700982993,NA,-7535.03278922007,-6422.27343162651,402,"csci","Peak_10",15,0.575284029725794
"79","asci_Peak_2_15",-98.8044669577378,-71.3816955421877,-98.8044669577378,-71.3816955421877,-521.238640202458,-459.42168897041,728.269712525055,1024.9530675332,613.466794524294,1090.59771942276,-170.869325148582,-16.791957826792,-514.190836772543,-474.241599752327,223,"asci","Peak_2",15,0.571516144476863
